precip,snofall, snomlt,surq_gen,latq,wateryld,perc,et,tloss, eplant,esoil,surq_cont,cn,sw_init,sw_final,sw_ave, sw_300,sno_init,sno_final,snopack, pet,qtile, irr,surq_runon,latq_runon,overbank,surq_cha,surq_res,surq_ls,latq_cha,latq_res,latq_ls,flo_out
32.2,0,0,1.46,16.9,18.4,0.165,0.194,0,0,9.07E-03,1.46,43.3,235,237,236,55.5,0,0,0,0.198,0,0,0,0,0,1.46,0,0,16.9,0,0,4.22
9.35E-04,0,0,9.66E-07,12.5,12.5,8.46E-02,0.339,0,0,1.63E-02,0,43.3,237,235,236,55.1,0,0,0,0.345,0,0,0,0,0,0,0,0,12.5,0,0,2.82
0,0,0,9.66E-07,9.19,9.19,7.58E-02,0.37,0,0,2.15E-02,0,43.3,235,234,235,54.8,0,0,0,0.377,0,0,0,0,0,0,0,0,9.19,0,0,2
0,0,0,9.66E-07,6.79,6.79,6.90E-02,0.607,0,6.58E-03,0.154,0,43.3,234,233,233,54.4,0,0,0,0.905,0,0,0,0,0,0,0,0,6.79,0,0,1.42
1.49,0,0,9.66E-07,5.05,5.05,6.37E-02,0.333,0,0,1.77E-02,0,43.3,233,232,232,54.5,0,0,0,0.338,0,0,0,0,0,0,0,0,5.05,0,0,1.02
0,0,0,9.66E-07,3.77,3.77,5.91E-02,0.471,0,0,2.44E-02,0,43.3,232,231,231,54.3,0,0,0,0.479,0,0,0,0,0,0,0,0,3.77,0,0,0.725
0,0,0,9.66E-07,2.83,2.83,5.54E-02,0.352,0,1.21E-03,4.43E-02,0,43.3,231,230,231,54.2,0,0,0,0.408,0,0,0,0,0,0,0,0,2.83,0,0,0.518
0.554,3.04E-02,5.09E-03,9.66E-07,2.15,2.15,5.22E-02,0.421,0,4.48E-04,2.08E-02,0,43.3,230,230,230,54.1,0,0,0,0.451,0,0,0,0,0,0,0,0,2.15,0,0,0.372
2.39,0,2.53E-02,9.66E-07,1.96,1.96,5.32E-02,5.69E-02,0,0,4.05E-03,0,43.3,230,230,230,54.2,0,0,0,5.87E-02,0,0,0,0,0,0,0,0,1.96,0,0,0.368
2.14,0,0,9.66E-07,2.02,2.02,5.41E-02,0.453,0,0,2.21E-02,0,43.3,230,229,230,54.2,0,0,0,0.46,0,0,0,0,0,0,0,0,2.02,0,0,0.366
4.75,0,0,3.22E-04,2.61,2.61,5.98E-02,9.51E-02,0,0,5.53E-03,3.21E-04,43.3,229,230,230,54.2,0,0,0,9.75E-02,0,0,0,0,0,3.21E-04,0,0,2.61,0,0,0.513
2.67,0,0,4.47E-04,2.62,2.62,5.59E-02,0.267,0,0,1.28E-02,4.46E-04,43.3,230,230,230,54.2,0,0,0,0.272,0,0,0,0,0,4.46E-04,0,0,2.62,0,0,0.529
0.538,0,0,9.66E-07,2.04,2.04,4.87E-02,0.978,0,0,4.43E-02,0,43.3,230,229,229,54.1,0,0,0,0.994,0,0,0,0,0,0,0,0,2.04,0,0,0.389
1.97,0.667,0.667,9.66E-07,1.8,1.8,4.86E-02,1.02,0,0,4.75E-02,0,43.3,229,229,229,54.1,0,0,0,1.04,0,0,0,0,0,0,0,0,1.8,0,0,0.35
10.5,6.02,2.17,6.89E-03,2.7,2.7,6.14E-02,0.806,0,0,2.54E-02,6.89E-03,43.3,229,230,229,54.2,0,0,0,0.83,0,0,0,0,0,6.89E-03,0,0,2.7,0,0,0.46
8.31,2.71,3.02,2.09E-02,3.96,3.98,7.08E-02,0.212,0,0,8.36E-03,2.09E-02,43.3,230,230,230,54.3,0,0,0,0.218,0,0,0,0,0,2.09E-02,0,0,3.96,0,0,0.709
6.07,4.03,1.36,9.03E-03,3.72,3.73,6.13E-02,0.318,0,0,1.15E-02,9.03E-03,43.3,230,230,230,54.3,0,0,0,0.326,0,0,0,0,0,9.03E-03,0,0,3.72,0,0,0.616
0.94,0.63,0.364,2.67E-05,2.89,2.89,5.27E-02,0.519,0,0,1.89E-02,2.57E-05,43.3,230,230,230,54.3,0,0,0,0.533,0,0,0,0,0,2.57E-05,0,0,2.89,0,0,0.45
6.63E-02,5.77E-03,4.57E-04,9.66E-07,2.18,2.18,4.88E-02,0.527,0,8.03E-06,1.97E-02,0,43.3,230,229,229,54.2,0,0,0,0.539,0,0,0,0,0,0,0,0,2.18,0,0,0.318
